Id,Label,timeset,tweets,retweets,rrt,modularity_class,indegree,outdegree,degree
272,valerieCG,,13,40,3.076923,0,11,39,50
273,jean_citoyen,,7,0,0,9,7,0,7
274,Sofiane_Adjissa,,1,0,0,0,1,0,1
275,Catyodalune,,8,0,0,7,8,0,8
276,AntoineSimonet2,,1,0,0,9,1,0,1
277,tns15,,17,0,0,7,17,0,17
278,MariaBadin18,,7,0,0,7,7,0,7
279,atheesur,,4,0,0,4,2,0,2
280,Desertup,,1,0,0,0,1,0,1
281,AireJeux,,1,0,0,6,1,0,1
282,blalel2,,1,0,0,0,1,0,1
283,paskalereynaud,,5,0,0,4,4,0,4
284,dede17_86,,16,0,0,7,15,0,15
285,mouchni,,2,0,0,1,2,0,2
286,lagrostA,,21,0,0,7,20,0,20
287,BottinThierry,,1,0,0,6,1,0,1
288,JuliaChazottes,,1,0,0,0,1,0,1
289,onthegrapevine1,,1,0,0,6,1,0,1
291,lola_espoir,,1,0,0,6,1,0,1
292,Charbey007,,12,0,0,7,12,0,12
293,SolangeBlondea1,,5,0,0,7,5,0,5
294,Madyy19,,1,0,0,0,1,0,1
295,Htoh21,,2,0,0,9,2,0,2
296,CorinneAngeline,,7,0,0,4,7,0,7
298,WatermolenJona2,,2,0,0,7,2,0,2
299,BuchetLambotin,,2,0,0,5,2,0,2
300,vaskrag,,3,0,0,0,2,0,2
301,VIGOUROUXCathe1,,1,0,0,6,1,0,1
302,PunchyKaiser,,1,0,0,7,1,0,1
303,BornetPhilippe,,2,0,0,6,2,0,2
304,Sybavie,,7,0,0,4,3,0,3
305,DonDiegoDeLaV8,,3,0,0,0,3,0,3
306,poulemaccartney,,1,0,0,6,1,0,1
308,GARNIERseb,,5,0,0,5,5,0,5
309,XavierGrolet,,1,0,0,6,1,0,1
310,Anto_SPR,,1,0,0,0,1,0,1
311,pasdebras,,1,0,0,6,1,0,1
312,vanmoerkercke3,,4,0,0,7,3,0,3
313,gaillar41755926,,1,0,0,6,1,0,1
314,Raghy_lion,,1,0,0,6,1,0,1
315,JeanErnest12,,1,0,0,0,1,0,1
316,SillyNepeta,,3,0,0,0,3,0,3
318,LMrI1374,,1,0,0,0,1,0,1
319,MLC6942,,1,0,0,2,1,0,1
320,AnthonyBressy,,1,0,0,4,1,0,1
322,Tempete19604477,,1,0,0,7,1,0,1
323,Snatchering,,1,0,0,6,1,0,1
324,LaurenceGerona,,4,0,0,4,2,0,2
326,theforgotten35,,1,0,0,6,1,0,1
327,YvesU57,,1,0,0,7,1,0,1
328,Day5Zero,,1,0,0,6,1,0,1
329,Fred_Connect,,4,0,0,7,3,0,3
330,LyvarF,,1,0,0,6,1,0,1
331,MFolschette,,4,0,0,0,4,0,4
332,zehammer,,1,0,0,6,1,0,1
333,clairalors,,6,0,0,0,6,0,6
335,nagou_san,,2,0,0,0,1,0,1
336,U_Zinu,,4,0,0,7,4,0,4
337,GDeguin,,1,0,0,6,1,0,1
338,Renaud_83990,,4,0,0,5,4,0,4
339,951dm,,12,0,0,7,9,0,9
340,pochaontassss,,29,0,0,3,25,0,25
341,8f2c2963a20e419,,1,0,0,6,1,0,1
342,PodicheL,,9,0,0,7,5,0,5
343,ANGESBLEU,,1,0,0,6,1,0,1
344,PlanardJacques,,5,2,0.4,7,0,2,2
345,jesuisgavroche,,3,0,0,0,3,0,3
346,bzhresistant,,1,0,0,7,1,0,1
347,eliott_leclerc_,,4,0,0,0,4,0,4
348,PorcinetteLouis,,8,0,0,7,8,0,8
349,Blodwyn_KH69_,,4,0,0,7,3,0,3
350,GuiheneufMichel,,2,0,0,5,2,0,2
351,PRUm30919226,,2,0,0,7,2,0,2
352,goldorakestmort,,1,0,0,7,1,0,1
353,MrZoulll,,3,0,0,7,2,0,2
354,Fred62871204,,6,0,0,7,6,0,6
355,ChapuisFred,,1,0,0,6,1,0,1
356,AmaclarMarie,,3,0,0,7,3,0,3
357,ThierryMeignen,,1,0,0,4,1,0,1
358,charlottefir2,,2,0,0,6,2,0,2
359,UP_Villeurbanne,,1,0,0,2,1,0,1
360,criaturairma,,3,0,0,0,3,0,3
361,CarolM_974,,2,0,0,6,1,0,1
363,OddoRomanCorinn,,1,0,0,6,1,0,1
364,OniriCorpe,,8,0,0,0,7,0,7
365,AlexandraSA89,,1,0,0,6,1,0,1
366,2036June,,1,0,0,6,1,0,1
368,SimpleCitoyenne,,1,0,0,6,1,0,1
369,crowleymass67,,3,0,0,7,1,0,1
370,Mimine66700,,14,0,0,7,13,0,13
371,Zubrowskaman,,3,0,0,0,3,0,3
373,RemiAngeC,,4,0,0,10,3,0,3
374,MRigalon,,2,0,0,7,1,0,1
375,Tardigrade840,,10,0,0,7,9,0,9
376,PierreG79041941,,1,0,0,6,1,0,1
377,djeleouf,,1,0,0,6,1,0,1
378,bvtpas,,4,0,0,7,4,0,4
379,Garparis12,,10,0,0,7,9,0,9
380,beckerbea1,,1,0,0,6,1,0,1
381,Hay1Alex,,3,0,0,9,3,0,3
382,Serge_0002,,1,0,0,4,1,0,1
383,missteeq60,,37,0,0,5,31,0,31
384,NSylvia10,,6,0,0,7,6,0,6
386,lachuteero,,8,0,0,0,6,0,6
389,HenryArdisson,,2,0,0,7,2,0,2
390,AngellycaH,,1,0,0,0,1,0,1
391,xeff,,1,0,0,6,1,0,1
392,nraednioa,,4,0,0,7,4,0,4
393,CAMARAMlissa2,,1,0,0,1,1,0,1
395,laure_lemetayer,,3,0,0,7,3,0,3
396,LarueCharlus,,1,0,0,4,1,0,1
397,davidfusil,,10,0,0,7,7,0,7
398,bounette6565,,2,0,0,6,2,0,2
401,Gioladouille1,,4,0,0,1,3,0,3
403,jpa_land,,1,0,0,0,1,0,1
404,DegryseMaxime,,1,0,0,0,1,0,1
405,Alexan1Thepault,,2,0,0,7,1,0,1
406,Smela1966,,1,0,0,6,1,0,1
408,si_2sans38,,2,0,0,7,2,0,2
411,ChapuisCamille,,1,0,0,6,1,0,1
412,chatel_nadine,,3,0,0,7,2,0,2
415,LeGoulu2,,9,0,0,5,9,0,9
416,Franckylarafale,,14,0,0,7,13,0,13
418,fannoche,,1,0,0,0,1,0,1
420,BrunaudOdette,,5,0,0,7,4,0,4
421,Magcaesax,,1,0,0,6,1,0,1
423,moi_ho,,1,0,0,0,1,0,1
424,leopolda007,,1,0,0,6,1,0,1
425,EditionsPR,,2,0,0,4,2,0,2
426,CaroFrancDesage,,2,3,1.5,0,1,3,4
428,MamyleneR,,2,0,0,0,2,0,2
429,chomel78066335,,20,1,0.05,4,16,1,17
430,_Melancolica,,1,0,0,7,1,0,1
431,Sam_du_44,,1,0,0,6,1,0,1
432,EiffelSyndicat,,1,0,0,0,1,0,1
433,jiipass,,3,4,1.333333,7,0,4,4
435,Aphelar,,1,0,0,6,1,0,1
436,GmaInno,,1,0,0,7,1,0,1
437,secondo_iminerx,,1,0,0,6,1,0,1
438,cb210326,,4,0,0,7,4,0,4
439,Brennus1980,,3,0,0,5,3,0,3
440,Moimoi25505827,,1,0,0,0,1,0,1
441,cayuspocus,,1,0,0,6,1,0,1
442,PorthosMD,,7,0,0,7,6,0,6
443,de_gallier,,6,0,0,7,5,0,5
444,FDudieuzere,,10,0,0,7,10,0,10
445,Mds928,,1,0,0,6,1,0,1
446,jgilb48,,10,0,0,7,8,0,8
447,Axel_deBorda,,1,0,0,4,1,0,1
448,IsaVeyratMasson,,1,0,0,6,1,0,1
449,Stannahzer,,2,0,0,0,2,0,2
450,hadida_ana,,1,0,0,6,1,0,1
451,MSouich,,1,0,0,6,1,0,1
452,FranceBod,,7,0,0,7,6,0,6
454,polobenne,,3,0,0,0,3,0,3
455,Generations_31,,2,0,0,1,1,0,1
456,carole_flyn,,1,0,0,7,1,0,1
457,Fab_M13,,2,0,0,0,1,0,1
458,JouRomain,,3,0,0,1,2,0,2
459,nuance_bot,,3,0,0,0,3,0,3
460,Jeanne20222,,4,104,26,7,1,103,104
461,Euphrasia99,,1,0,0,6,1,0,1
462,torr_reor,,4,0,0,0,4,0,4
463,ActuPensee,,4,1,0.25,7,0,1,1
464,A_G_D_S_,,1,0,0,0,1,0,1
465,555_azerty,,8,0,0,4,8,0,8
467,Minium2010,,1,0,0,0,1,0,1
468,francinegfm,,5,0,0,4,5,0,5
469,achabus,,3,0,0,1,3,0,3
470,chrichri78,,4,0,0,9,4,0,4
471,glemaitre3,,6,1,0.166667,7,4,1,5
473,VictorGThoreau,,1,0,0,0,1,0,1
475,Jujube45554012,,1,0,0,6,1,0,1
478,Mariette_frg,,2,0,0,6,1,0,1
480,VautQueDalle,,4,0,0,9,3,0,3
481,oukoukes,,5,0,0,4,5,0,5
482,RekikEmilie,,2,0,0,2,2,0,2
483,alsveig,,1,0,0,0,1,0,1
484,Sxwnn_,,1,0,0,6,1,0,1
485,amael_assour,,12,0,0,0,1,0,1
486,AnnaelAstan,,1,0,0,6,1,0,1
489,BidaultVero1,,2,2,1,1,1,2,3
490,LeLysdArgent,,2,0,0,0,1,0,1
491,Dortmunder2022,,2,0,0,1,2,0,2
493,Soad1802,,1,0,0,0,1,0,1
494,mpuaud,,1,0,0,0,1,0,1
495,CHICKASAWS,,3,0,0,10,3,0,3
496,Dretska,,1,0,0,6,1,0,1
497,OOnloug,,7,0,0,6,6,0,6
498,Guitfast,,1,0,0,9,1,0,1
499,DupontDurantZ,,7,0,0,5,5,0,5
500,VonneEric,,3,0,0,5,2,0,2
501,JeanPETRILLI,,12,1,0.083333,4,8,1,9
502,MarieBatarec,,1,0,0,6,1,0,1
503,HugoLeroy87,,1,0,0,6,1,0,1
504,gnaksonfive,,1,0,0,6,1,0,1
505,ybutscha,,1,0,0,6,1,0,1
506,willjeeam,,1,0,0,6,1,0,1
507,BourbonClemence,,8,0,0,7,7,0,7
508,IamR1_,,1,0,0,0,1,0,1
509,memoristic,,3,0,0,1,2,0,2
511,SvavaWalkyrie,,1,0,0,0,1,0,1
512,IsabelleBore,,2,0,0,9,2,0,2
513,PaulineSpinazze,,1,0,0,6,1,0,1
515,pmiailhes,,4,0,0,10,4,0,4
516,AntonyCartigny,,1,0,0,6,1,0,1
517,True_eldiez,,1,0,0,7,1,0,1
518,Vixen23789982,,1,0,0,6,1,0,1
519,viwitchy,,2,0,0,4,1,0,1
520,tfsalomon,,5,41,8.2,4,2,39,41
521,noemie_ghz,,1,0,0,6,1,0,1
522,iamlrrr13,,5,0,0,0,1,0,1
523,jean_phi1,,4,0,0,7,3,0,3
525,sachabrtd,,1,0,0,6,1,0,1
526,Neron2283,,1,0,0,6,1,0,1
527,KyokanOtoko,,2,0,0,0,2,0,2
528,tattoo1519,,1,0,0,6,1,0,1
530,pmarsande,,1,0,0,6,1,0,1
531,blanchard_oli,,1,0,0,6,1,0,1
532,Beepop2,,1,0,0,6,1,0,1
533,Jeanne78033876,,2,0,0,7,2,0,2
534,sandrousseau,,2,19,9.5,1,0,18,18
535,BrownDavidos,,1,0,0,6,1,0,1
537,FlorianneFritz,,1,0,0,6,1,0,1
538,lau_enby,,2,0,0,0,2,0,2
539,themislamisse,,1,0,0,6,1,0,1
540,ajoint52,,2,0,0,9,2,0,2
541,sofdegre,,1,0,0,3,1,0,1
542,ours_z,,6,0,0,4,2,0,2
543,mleeut,,1,0,0,1,1,0,1
544,AnneJosnin,,1,0,0,6,1,0,1
545,FrenchTransGal,,8,0,0,0,7,0,7
546,Marme_elade,,3,5,1.666667,0,1,5,6
548,cambhoedian,,1,0,0,0,1,0,1
549,KatePichot,,2,0,0,1,2,0,2
550,LMICHPL,,1,0,0,1,1,0,1
551,victor17822104,,1,0,0,6,1,0,1
552,Painting_Ventus,,2,0,0,3,1,0,1
553,corde_dominique,,3,0,0,7,2,0,2
554,Sandylili66,,25,0,0,7,21,0,21
555,undefin15445393,,4,0,0,0,1,0,1
556,emmanuelleHaile,,2,0,0,4,1,0,1
557,WePartyAllNight,,2,0,0,0,2,0,2
558,JJ_Jarjanette,,2,0,0,4,2,0,2
559,CroiseFranco,,4,0,0,5,4,0,4
560,DaDeaf,,4,0,0,4,4,0,4
562,Micheli19179565,,1,0,0,6,1,0,1
563,sbsalome,,1,0,0,5,1,0,1
564,AloisDuPerigord,,1,0,0,1,1,0,1
