"Label","Id","tweets","retweets","rRT"
"bruno_lafitte",622,3,0,0
"Chaolin30900",623,22,2,0.0909090909090909
"RanqueJp",625,8,0,0
"Deboutdansmacui",626,11,0,0
"Ammadeaaa",627,2,0,0
"anikgimonets",628,3,0,0
"HVaucher",629,6,0,0
"PascaleJeru",630,3,0,0
"ShamoBankiva66",631,4,0,0
"BFARIZY",632,1,0,0
"DocCha09",633,1,0,0
"OlivierMaud",634,1,0,0
"paletherider",635,1,0,0
"Agrisystemsarl",636,1,0,0
"MikaelBreizh",637,4,0,0
"cceltika",638,2,0,0
"RaultFrancois",639,2,0,0
"BuronManon",640,2,0,0
"Magdalena9013",641,1,0,0
"PagoPog",642,14,0,0
"olivierjaguar",643,2,0,0
"athblf",644,1,0,0
"maele_d",645,1,0,0
"Betelplouf",646,5,0,0
"TaLili93572146",647,1,0,0
"Theacin",649,1,0,0
"NadiaGeerts",650,3,7,2.33333333333333
"Jolle00883115",651,1,0,0
"ps3ud0nym3",652,9,0,0
"mayatonbb",653,1,0,0
"NegomiWhat",654,1,0,0
"Toubib21",655,1,0,0
"xpatognomonic",657,1,0,0
"grostontongames",658,2,0,0
"HSchemba",659,1,0,0
"LaGrinderie",660,1,0,0
"Passengeralive",661,2,0,0
"Chrismarose",662,1,0,0
"Delarue96884422",663,1,0,0
"dragoon_cosmo",664,1,0,0
"ZFM_sys",665,3,0,0
"Brice_Desaulle",666,3,0,0
"th_gre",667,5,0,0
"SaintManuelito",668,1,0,0
"ChristineDarcq",669,2,0,0
"Ex_Supra_9",670,1,0,0
"EstherYez",671,1,1,1
"lys_mana",672,4,1,0.25
"Bennouze",673,6,0,0
"Delphine_EEL",674,3,0,0
"GONDRA17",675,1,0,0
"V_TATEZDouai",676,2,0,0
"mr_tux",677,1,0,0
"SoJanuel",678,1,0,0
"PhilibertOrain",681,1,0,0
"julievalles",682,1,0,0
"AnnickEcuyer",683,2,0,0
"mfb_mfe",684,5,0,0
"mali_ler",686,1,0,0
"AKarenJo",687,7,0,0
"jeudikale",688,1,0,0
"maribel2casa",689,4,0,0
"LugnierMichele",690,10,0,0
"enbypouffe",692,1,0,0
"Singlefab",693,1,0,0
"Arno1045",694,1,0,0
"PAGESRobert1",696,1,0,0
"lezardapplik",697,4,0,0
"NavarreJocelyne",698,3,0,0
"C24aye",699,4,0,0
"Kirikou45134526",700,2,0,0
"Sabasse57",701,1,0,0
"Vbloodymary",702,1,0,0
