"Label","date","Id","modularity_class","outdegree"
"nico_1601",2022-08-24 11:28:31,729,"Droite réactionnaire",0
"mad_otter",2022-08-24 11:29:15,725,"Militant·e·s féministes et LGBTQIA+",0
"lu_ckh",2022-08-24 11:29:26,724,"Militant·e·s féministes et LGBTQIA+",0
"mariejose58",2022-08-24 11:30:01,720,"Alt-right",0
"JOUHAUDMARIANN1",2022-08-24 11:32:06,715,"Droite réactionnaire",0
"georges_weiss",2022-08-24 11:34:09,708,"Néoconservateurs",0
"khaIys",2022-08-24 11:34:26,706,"Militant·e·s féministes et LGBTQIA+",0
"polykaup",2022-08-24 11:34:50,704,"Militant·e·s féministes et LGBTQIA+",0
"Vbloodymary",2022-08-24 11:35:23,702,"Droite réactionnaire",0
"Sabasse57",2022-08-24 11:35:24,701,"Droite réactionnaire",0
"PAGESRobert1",2022-08-24 11:35:53,696,"Néoconservateurs",0
"Arno1045",2022-08-24 11:36:09,694,"Droite réactionnaire",0
"Singlefab",2022-08-24 11:36:31,693,"Militant·e·s féministes et LGBTQIA+",0
"enbypouffe",2022-08-24 11:36:48,692,"Militant·e·s féministes et LGBTQIA+",0
"je__an__ne",2022-08-24 11:36:53,175,"Militant·e·s féministes et LGBTQIA+",0
"jeudikale",2022-08-24 11:37:41,688,"Militant·e·s féministes et LGBTQIA+",0
"mali_ler",2022-08-24 11:38:26,686,"Droite réactionnaire",0
"julievalles",2022-08-24 11:38:57,682,"Militant·e·s féministes et LGBTQIA+",0
"PhilibertOrain",2022-08-24 11:39:05,681,"Droite réactionnaire",0
"mr_tux",2022-08-24 11:40:36,677,"Droite réactionnaire",0
"GONDRA17",2022-08-24 11:42:04,675,"Militant·e·s féministes et LGBTQIA+",0
"SaintManuelito",2022-08-24 11:46:00,668,"Droite réactionnaire",0
"dragoon_cosmo",2022-08-24 11:46:52,664,"Droite réactionnaire",0
"Delarue96884422",2022-08-24 11:46:55,663,"Alt-right",0
"Chrismarose",2022-08-24 11:47:04,662,"Droite réactionnaire",0
"Toubib21",2022-08-24 11:49:27,655,"Alt-right",0
"NegomiWhat",2022-08-24 11:49:58,654,"Néoconservateurs",0
"mayatonbb",2022-08-24 11:50:17,653,"Militant·e·s féministes et LGBTQIA+",0
"Jolle00883115",2022-08-24 11:51:34,651,"Droite réactionnaire",0
"Theacin",2022-08-24 11:52:38,649,"Centre",0
"TaLili93572146",2022-08-24 11:54:20,647,"Droite réactionnaire",0
"maele_d",2022-08-24 11:54:33,645,"Militant·e·s féministes et LGBTQIA+",0
"athblf",2022-08-24 11:55:31,644,"Militant·e·s féministes et LGBTQIA+",0
"Magdalena9013",2022-08-24 11:55:52,641,"Droite réactionnaire",0
"Agrisystemsarl",2022-08-24 11:57:36,636,"Droite réactionnaire",0
"paletherider",2022-08-24 11:57:55,635,"Droite réactionnaire",0
"OlivierMaud",2022-08-24 11:57:58,634,"Droite réactionnaire",0
"DocCha09",2022-08-24 11:58:07,633,"Militant·e·s féministes et LGBTQIA+",0
"BFARIZY",2022-08-24 11:58:23,632,"Militant·e·s féministes et LGBTQIA+",0
"creugdong",2022-08-24 12:03:08,621,"Centre",0
"_Stephan1881",2022-08-24 12:03:40,620,"Centre",0
"garitey",2022-08-24 12:03:45,619,"Droite réactionnaire",0
"Jocelyne29270",2022-08-24 12:04:28,596,"Alt-right",0
"poupoupidu",2022-08-24 12:04:46,615,"Militant·e·s féministes et LGBTQIA+",0
"JJBergerac",2022-08-24 12:05:07,614,"Centre",0
"paineythier",2022-08-24 12:05:42,613,"Droite réactionnaire",0
"ricochepas3317",2022-08-24 12:06:09,612,"Droite réactionnaire",0
"BmNanou",2022-08-24 12:08:25,608,"Droite réactionnaire",0
"LoloNivaggioli",2022-08-24 12:09:12,603,"Droite réactionnaire",0
"LMPT57",2022-08-24 12:09:32,600,"Droite réactionnaire",0
"MtzHerve",2022-08-24 12:09:44,599,"Droite réactionnaire",0
"cptmighty",2022-08-24 12:11:13,594,"Centre",0
"felicie_po",2022-08-24 12:14:25,592,"Militant·e·s féministes et LGBTQIA+",0
"AnnBel48985176",2022-08-24 12:14:30,591,"Droite réactionnaire",0
"sandrousseau",2022-08-24 12:14:33,534,"Personnalités et groupes de gauche",18
"grn_matthieu",2022-08-24 12:14:44,589,"Droite réactionnaire",0
"Gassem23366017",2022-08-24 12:15:08,588,"Droite réactionnaire",0
"olitier1",2022-08-24 12:15:09,587,"Droite réactionnaire",0
"Pall911",2022-08-24 12:15:20,584,"Centre",0
"Fernand77331229",2022-08-24 12:15:20,585,"Droite réactionnaire",0
"JLeroy59",2022-08-24 12:15:22,583,"Personnalités et groupes de gauche",0
"7506patrickb",2022-08-24 12:15:32,581,"Droite réactionnaire",0
"Gerpedit",2022-08-24 12:15:34,580,"Droite réactionnaire",0
"draphousse2",2022-08-24 12:17:31,574,"Militant·e·s féministes et LGBTQIA+",0
"bobby1009",2022-08-24 12:17:34,573,"Centre",0
"Clara13179650",2022-08-24 12:17:35,572,"Droite réactionnaire",0
"scoubibio",2022-08-24 12:18:00,565,"Militant·e·s féministes et LGBTQIA+",0
"AloisDuPerigord",2022-08-24 12:19:17,564,"Personnalités et groupes de gauche",0
"sbsalome",2022-08-24 12:19:24,563,"Extrême-droite",0
"Micheli19179565",2022-08-24 12:19:44,562,"Droite réactionnaire",0
"victor17822104",2022-08-24 12:23:29,551,"Droite réactionnaire",0
"LMICHPL",2022-08-24 12:23:45,550,"Personnalités et groupes de gauche",0
"cambhoedian",2022-08-24 12:25:21,548,"Militant·e·s féministes et LGBTQIA+",0
"AnneJosnin",2022-08-24 12:25:41,544,"Droite réactionnaire",0
"mleeut",2022-08-24 12:25:51,543,"Personnalités et groupes de gauche",0
"sofdegre",2022-08-24 12:26:09,541,"Centre",0
"themislamisse",2022-08-24 12:26:50,539,"Droite réactionnaire",0
"FlorianneFritz",2022-08-24 12:27:06,537,"Droite réactionnaire",0
"BrownDavidos",2022-08-24 12:27:34,535,"Droite réactionnaire",0
